序號,題目,答案(正確請填1，錯誤請填2),解說
1,每年約5000人死於乳癌、子宮頸癌、大腸癌與口腔癌。,2,每年有超過10000人死於乳癌、子宮頸癌、大腸癌與口腔癌。篩檢可以早期發現癌症或其癌前病變，經治療後可以降低死亡率外，還可以阻斷癌前病變進展為癌症。
2,關於乳癌檢查的乳房X光攝影檢查，中年婦女只要每五年檢查一次就好。,2,45～69歲女性、40～44歲二等血親內曾罹患乳癌之女性，每2年檢查1次。
3,乳癌是政府補助的四大癌症篩檢之一。,1,政府補助的四大癌症篩檢包含乳癌、子宮頸癌、大腸癌與口腔癌。
4,子宮頸癌是政府補助的四大癌症篩檢之一。,1,政府補助的四大癌症篩檢包含乳癌、子宮頸癌、大腸癌與口腔癌。
5,大腸癌是政府補助的四大癌症篩檢之一。,1,政府補助的四大癌症篩檢包含乳癌、子宮頸癌、大腸癌與口腔癌。
6,口腔癌是政府補助的四大癌症篩檢之一。,1,政府補助的四大癌症篩檢包含乳癌、子宮頸癌、大腸癌與口腔癌。
7,口腔癌補助篩檢的對象，只限30歲以上嚼檳榔(含檳榔已戒)或吸菸民眾。,2,補助對象不只30歲以上嚼檳榔(含檳榔已戒)或吸菸民眾，還包含18歲以上嚼檳榔之原住民。
8,胃癌是政府補助的四大癌症篩檢之一。,2,政府補助的四大癌症篩檢包含乳癌、子宮頸癌、大腸癌與口腔癌。
9,大腸癌的致死率高，即使早期發現也很難治癒。,2,大腸癌是可以早期發現早期治療，且治癒率很高的癌症。根據統計，早期的大腸癌如果妥善治療，存活率高達90％以上。
10,大腸癌的早期的症狀明顯，會有脹氣不舒服，甚至體重上升。,2,大腸癌的早期並無症狀，最可靠的方法就是定期接受大腸癌篩檢，而定量免疫法糞便潛血檢查是目前最安全且方便的篩檢工具。
11,定期做大腸癌篩檢是預防大腸癌的方法之一。,1,除了篩檢之外，天天五蔬果，維持每日運動也是預防大腸癌的方式，二年一篩檢，早期發現早期治療。
12,子宮頸抹片檢查是預防子宮頸癌的好方式。,1,子宮頸抹片檢查過程簡單，大多不會感到疼痛，採檢過程，係將擴陰器置入陰道，再以小木棒或小刷子在子宮頸上，輕輕刮取少量剝落的上皮細胞，塗抹於玻片上，經過染色後，透過顯微鏡檢查是否有可疑性的癌細胞存在。
13,做子宮頸抹片檢查前要保持陰道清潔，最好是使用塞劑或是沖洗陰道。,2,檢查注意事項檢查前要注意：（一）不要沖洗陰道。（二）避免盆浴。（三）勿放置塞劑。（四）前一夜不要有性行為。（五）避開月經期間。
14,乳癌篩檢的方式是使用乳房攝影，是一種X光檢查。,1,乳房攝影可降低3成乳癌死亡率，過程中女性放射師會以壓迫板緊壓乳房， 以獲得清晰的影像，並減少輻射劑量，所以會有疼痛感。
15,我國罹患口腔癌的個案中，很大一部分與嚼檳榔、吸菸有關。,1,"口腔癌為我國青壯年（25～44歲）男性最容易發生的癌症，平均死亡年齡為54歲，較其他癌症早10年以上。每年約有5,400名口腔癌個案，2,300人死於口腔癌，嚼檳榔、吸菸是造成口腔癌的主因。【數據來源：2010/07/19 衛服部網站】"
16,預防口腔癌，養成健康生活習慣，不嚼檳榔、不吸菸、不喝酒。,1,養成健康生活習慣，不嚼檳榔、不吸菸、不喝酒。有嚼檳或吸菸者，應定期接受篩檢。
17,每間診所醫院都可進行政府補助的四大癌症篩檢。,2,並非每間診所都有相關儀器與業務，請先查詢網站，與醫院連繫時間後，攜帶健保卡前往。
18,政府補助四大癌症篩檢，民眾到醫院門診檢查，只要符合資格，連掛號費都可以不用支付。,2,政府補助的是篩檢費，民眾依舊要負擔門診掛號費。但是由社區團體巡迴車或是地方衛生所舉辦的四癌篩檢活動則可免掛號費，可多加利用。
19,口腔癌的病症非常輕微，只影響口腔內部，即使放著不治療也會痊癒。,2,口腔癌罹病後，輕則毀容，重則奪命。 篩檢政策之國外研究顯示，口腔黏膜檢查可有效降低口腔癌之死亡率。
20,政府補助大腸癌篩檢的年齡為50～74歲民眾。,1,在台灣，由於大腸癌多發生在 50 歲以後，因此，國民健康署有效運用菸品健康福利捐，補助 50～74歲民眾每2年1次定量免疫法糞便潛血檢查。
21,糞便潛血檢查是目前最安全且方便的大腸癌篩檢工具。,1,檢查結果如有異常（篩檢結果為陽性），需進一步接受大腸鏡檢查。若出現下列症狀，請儘速就醫：◎大便中有血 ◎大便中有黏液 ◎排便習慣改變 (一下子腹瀉，一下子便秘) ◎大便變細小 ◎經常性腹瀉或便秘 ◎體重減輕 ◎貧血 ◎如腫瘤較大，則可觸摸到腫塊。以上症狀不代表發生大腸癌，但症狀如持續出現超過2星期以上，應立即請專科醫師檢查。 
22,政府補助子宮頸癌篩檢的年齡為30歲以上女性。,1,篩檢政策研究顯示子宮頸抹片檢查可以降低60%～90%子宮頸癌侵襲癌發生率和死亡率，政府補助30歲以上女性每年1次免費檢查，並建議每3年至少接受1次子宮頸抹片檢查。
23,30歲以上女性若已無性生活或停經，就無需再做子宮抹片檢查。,2,30歲以上女性已無性生活或停經，亦須定期做抹片檢查。早期發現子宮頸癌前病變，予以治療，進而阻斷後續發展為侵襲癌。
24,若子宮抹片檢查結果已是陰性，即使後來身體出現不舒服的症狀也無須在意。,2,任何一項篩檢都會有偽陰性個案發生，所以即使抹片檢查結果正常，有任何異狀時均應儘速就醫。
25,政府補助的口腔癌篩檢，是採用抽血檢驗。,2,政府補助的口腔癌篩檢，是採用口腔黏膜檢驗。
26,政府補助的大腸癌篩檢，是採用驗尿的方式檢驗。,2,政府補助的大腸癌篩檢，是採用糞便潛血檢查。
27,政府補助的乳癌篩檢，是採用乳房X光攝影檢查。,1,民眾前往進行乳房X光檢查時，請勿穿連身洋裝以方便檢查。
28,政府補助的子宮頸癌篩檢，是採用子宮頸抹片檢查。,1,子宮頸抹片檢查過程簡單，大多不會感到疼痛，採檢過程，係將擴陰器置入陰道，再以小木棒或小刷子在子宮頸上，輕輕刮取少量剝落的上皮細胞，塗抹於玻片上，經過染色後，透過顯微鏡檢查是否有可疑性的癌細胞存在。
29,子宮頸癌為我國女性發生率第一位的癌症。,2,我國女性發生率第一位的癌症是乳癌。
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
